day,date,distance,start,startProvince,end,endProvince,description,accomodations
1,2024-04-01,75,Terry Fox Memorial,NL,Ocean Pond,NL,,
2,2024-04-02,150,Ocean Pond,NL,Come by Chance,NL,,
3,2024-04-03,225,Come by Chance,NL,Port Blandford-Muddy Brook,NL,,
4,2024-04-04,300,Port Blandford-Muddy Brook,NL,Butts/Gambo,NL,,
5,2024-04-05,375,Butts/Gambo,NL,Notre Dame Junction,NL,,
6,2024-04-06,450,Notre Dame Junction,NL,Red Cliff,NL,,
7,2024-04-07,525,Red Cliff,NL,South Brook,NL,,
8,2024-04-08,600,South Brook,NL,Flight's Brook,NL,,
9,2024-04-09,675,Flight's Brook,NL,Pasadena,NL,Going through Deer Lake,
10,2024-04-10,750,Pasadena,NL,Mattis Point,NL,Going through Corner Brook,
11,2024-04-11,825,Mattis Point,NL,Codroy Pond,NL,Last stop before ferry,
--,2024-04-12,825,Codroy Pond,NL,Ferry,NL,Skipped due to ferry cancellation warning,
12,2024-04-12,900,Running around Sydney,NS,,NS,Making up for lost day in NL,
13,2024-04-13,975,Sydney Ferry Terminal,NS,Saint Patricks Channel,NS,,
14,2024-04-14,1050,Saint Patricks Channel,NS,Aulds Cove,NS,Just past causeway,
15,2024-04-15,1125,Aulds Cove,NS,Kenzieville,NS,,
16,2024-04-16,1200,Kenzieville,NS,Truro,NS,Valley Cross Roads,
17,2024-04-17,1275,Truro,NS,Enfield,NS,,
18,2024-04-18,1350,Enfield,NS,Halifax,NS,Hometown day,
19,2024-04-19,1425,Calhoun,NB,Lower Ridge,NB,Go through Moncton,
20,2024-04-20,1500,Lower Ridge,NB,Upper Gagetown,NB,,
21,2024-04-21,1575,Upper Gagetown,NB,Longs Creek,NB,,
22,2024-04-22,1650,Longs Creek,NB,Waterville,NB,,
23,2024-04-23,1725,Waterville,NB,Perth-Andover,NB,,
24,2024-04-24,1800,Perth-Andover,NB,Riviere-Verte,NB,,
25,2024-04-25,1875,Riviere-Verte,NB,Saint-Louis-du-Ha!Ha!,QC,,
26,2024-04-26,1950,Saint-Louis-du-Ha!Ha!,QC,Saint-Andre-Station,QC,,
27,2024-04-27,2025,Saint-Andre-Station,QC,Saint-Jean-Port-Joli,QC,Approaching Quebec City,
28,2024-04-28,2100,Saint-Jean-Port-Joli,QC,Beaumont,QC,Basically Quebec City,
29,2024-04-29,2175,Beaumont,QC,Portneuf,QC,Run through Quebec City,
30,2024-04-30,2250,Portneuf,QC,Trois-Rivieres,QC,,
31,2024-05-01,2325,Trois-Rivieres,QC,Lanoraie,QC,,https://docs.google.com/forms/d/e/1FAIpQLSd0ggJgGQGRgVyEfEr_pcEGVV0rNIlsC-jyAl4CD9QXfTgh0w/viewform?usp=sf_link
32,2024-05-02,2400,Lanoraie,QC,Montreal,QC,,https://docs.google.com/forms/d/e/1FAIpQLScWQbMy202fczd6q1hcvujCVwfalU4dCeW4XNReFB7evycoqw/viewform?usp=sf_link
33,2024-05-03,2475,L'Ile-Perrot,QC,Cornwall,ON,,https://docs.google.com/forms/d/e/1FAIpQLScOwFI1a8KAV0j8Z3_TA1RHCo4zoDdNmI_T7UDxY2rPL5rZXw/viewform?usp=sf_link
34,2024-05-04,2550,Cornwall,ON,Johnstown,ON,,https://docs.google.com/forms/d/e/1FAIpQLScUky7BDWh6Zh0rci4kezGj-CX-V43O1fclBONF2tQYletn_w/viewform?usp=sf_link
